2018-09-20 18:16:34.864 INFO  [pool-6-thread-7][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#Role_
2018-09-20 18:16:34.861 INFO  [pool-6-thread-5][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#Organization_
2018-09-20 18:16:34.875 INFO  [pool-6-thread-8][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#UserGroup in 10 ms
2018-09-20 18:16:34.861 INFO  [pool-6-thread-4][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#Layout
2018-09-20 18:16:34.875 INFO  [pool-6-thread-6][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#RepositoryEntry in 10 ms
2018-09-20 18:16:34.874 INFO  [pool-6-thread-1][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#LayoutFriendlyURL in 14 ms
2018-09-20 18:16:34.873 INFO  [pool-6-thread-2][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#LayoutPrototype in 13 ms
2018-09-20 18:16:34.873 INFO  [pool-6-thread-3][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#LayoutSetPrototype in 12 ms
2018-09-20 18:16:34.877 INFO  [pool-6-thread-4][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#Layout in 16 ms
2018-09-20 18:16:34.877 INFO  [pool-6-thread-5][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#Organization_ in 16 ms
2018-09-20 18:16:34.876 INFO  [pool-6-thread-7][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#Role_ in 12 ms
2018-09-20 18:16:34.880 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.verify.VerifyAuditedModel in 24ms
2018-09-20 18:16:34.883 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.verify.VerifyResourceActions
2018-09-20 18:16:34.885 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyResourceActions#deleteDuplicateBitwiseValuesOnResource
2018-09-20 18:16:34.902 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyResourceActions#deleteDuplicateBitwiseValuesOnResource in 17 ms
2018-09-20 18:16:34.904 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.verify.VerifyResourceActions in 21ms
2018-09-20 18:16:34.907 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.verify.VerifyResourcePermissions
2018-09-20 18:16:34.915 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.verify.VerifyResourcePermissions in 9ms
2018-09-20 18:16:34.917 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.verify.VerifyUser
2018-09-20 18:16:34.918 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyUser#verifyInactive
2018-09-20 18:16:34.925 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyUser#verifyInactive in 7 ms
2018-09-20 18:16:34.926 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.verify.VerifyUser in 8ms
2018-09-20 18:16:34.926 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.verify.VerifyProcessSuite in 878ms
2018-09-20 18:16:36.239 INFO  [main][AutoDeployDir:193] Auto deploy scanner started for /Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/deploy
2018-09-20 18:16:38.766 INFO  [fileinstall-/Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/osgi/war][BaseAutoDeployListener:43] Copying themes for /Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/tomcat-9.0.10/temp/20180920181638715IDGFCULB/classic-theme.war
